0   0   (0.21875,0)   (7.1557343384043293e-18,0)   (4.5536491244391186e-18,0)   (-3.4694469519536142e-18,0)   (5.2041704279304213e-18,0)   (0,0)   (1.7347234759768071e-18,0)   (0,0)   (0.43749999999999839,0)   (2.6156377411212794e-18,0)   (-3.4694469519536142e-18,0)   (7.3590222457453613e-18,0)   (-3.4287893704854078e-18,0)   (4.4994390158148434e-18,0)   (-5.4277871260055566e-18,0)   (2.9815559743351372e-19,0)   
0.5   0   (0.23849936002980396,0)   (0.0057671199607527554,0)   (0.0078500406875399876,0)   (0.0094593438148151011,0)   (-0.0035045178284431183,0)   (0.0042620428434146373,0)   (-0.00088121520651305782,0)   (0.00078912805552055273,0)   (0.47699872005960126,0)   (-0.034229970497143908,0)   (-0.020775505165303944,0)   (0.023150114680266686,0)   (-0.011684867899319717,0)   (0.0033471439625923625,0)   (-0.00075371655784279537,0)   (0.00018075651678103503,0)   
1   0   (0.24025130157702945,0)   (0.01495316424811813,0)   (0.018021552677422881,0)   (0.01108564409843679,0)   (-0.0070801437211711268,0)   (0.011005363056841007,0)   (-0.0018371951204246163,0)   (0.0032468676043293479,0)   (0.48050260315404619,0)   (-0.052689564250719578,0)   (-0.021775053062694231,0)   (0.032885532730584345,0)   (-0.02553839197581188,0)   (0.006821453807209007,0)   (-0.00020318807723523249,0)   (-0.00025452688311409507,0)   
2   0   (0.24078821571773915,0)   (0.024090558189699351,0)   (0.031775559543755452,0)   (0.0083284383335625028,0)   (-0.010073991911079497,0)   (0.021005447961945038,0)   (-0.0021383194608963312,0)   (0.010993384472255709,0)   (0.48157643143545759,0)   (-0.081990597463738338,0)   (-0.015390060772256865,0)   (0.036706628509157686,0)   (-0.04146774595592178,0)   (0.017666053964217568,0)   (-0.00088739452974861109,0)   (-0.0021245450972934678,0)   
10   0   (0.24063793513081069,0)   (-0.0015901388766541152,0)   (0.041161629592296745,0)   (-0.0010854902934322981,0)   (-0.017453520000594538,0)   (0.029024253390968983,0)   (-0.0089111742487293141,0)   (0.052920464703013419,0)   (0.4812758702616165,0)   (-0.15427312814450517,0)   (0.031653123052907649,0)   (0.012234290021134102,0)   (-0.060199559322115563,0)   (0.07856383483860914,0)   (-0.094474834171345445,0)   (0.063867006081663014,0)   
100   0   (0.24039139289826247,0)   (-0.079933655306198559,0)   (0.028756243320532469,0)   (-0.0067181599046051413,0)   (-0.02306042789844236,0)   (0.031623642608687462,0)   (-0.059834185545947029,0)   (0.020260786005949362,0)   (0.48078278579652356,0)   (-0.21561138093384177,0)   (0.058749016803916358,0)   (-0.014458152872680057,0)   (-0.04327230231717287,0)   (0.084079439795355718,0)   (-0.18277786358169124,0)   (0.19479132800407581,0)   
200   0   (0.24036224083805999,0)   (-0.088044468707524956,0)   (0.027562493587399491,0)   (-0.0070467432295840621,0)   (-0.023569830605754277,0)   (0.032217228965031375,0)   (-0.066116905260731121,0)   (0.013427472763963217,0)   (0.48072448167611909,0)   (-0.22150486054596194,0)   (0.060250166547343206,0)   (-0.015821108294301035,0)   (-0.041709070598076416,0)   (0.082542346964049287,0)   (-0.18737248374903703,0)   (0.20294105740928012,0)   
500   0   (0.24036055783083371,0)   (-0.088512721676720946,0)   (0.02749357617504343,0)   (-0.0070657129480396381,0)   (-0.023599239434128557,0)   (0.032251497894789656,0)   (-0.066479618931263015,0)   (0.013032972048376706,0)   (0.48072111566166598,0)   (-0.2218451025628225,0)   (0.060336830709804945,0)   (-0.015899794163326705,0)   (-0.041618822288972207,0)   (0.082453607359219097,0)   (-0.18763773940657333,0)   (0.20341155635376426,0)   
1000   0   (0.24036055759311883,0)   (-0.08851278781468902,0)   (0.027493566440865713,0)   (-0.0070657156274004009,0)   (-0.023599243587951981,0)   (0.032251502735073712,0)   (-0.066479670162428089,0)   (0.013032916327479134,0)   (0.48072111518623617,0)   (-0.22184515061999904,0)   (0.060336842950606401,0)   (-0.015899805277241285,0)   (-0.041618809541931284,0)   (0.082453594825273646,0)   (-0.18763777687236929,0)   (0.20341162280896311,0)   
10000   0   (0.24036055759311878,0)   (-0.08851278781471425,0)   (0.027493566440862,0)   (-0.0070657156274014235,0)   (-0.023599243587953567,0)   (0.032251502735075557,0)   (-0.066479670162447629,0)   (0.013032916327457891,0)   (0.48072111518623672,0)   (-0.22184515062001753,0)   (0.060336842950611029,0)   (-0.015899805277245511,0)   (-0.041618809541926441,0)   (0.082453594825268928,0)   (-0.18763777687238378,0)   (0.20341162280898831,0)   
