0   0   (0.22727272727272754,0)   (2.8386384152347754e-18,0)   (7.2542981722666476e-18,0)   (5.8349789646492604e-18,0)   (-2.2078298785159363e-18,0)   (-1.0763170657765189e-17,0)   (1.1039149392579681e-17,0)   (-3.6271490861333238e-18,0)   (1.2773872868556488e-17,0)   (-7.8851067089854875e-18,0)   (-6.1503832330086796e-18,0)   (0.45454545454545009,0)   (2.0348811512856492e-17,0)   (-1.0181028014015871e-17,0)   (-7.7347352599492873e-17,0)   (-1.4747921653630239e-17,0)   (-2.1948933753215072e-18,0)   (-1.0776723184921258e-17,0)   (-1.3761975303026233e-18,0)   (5.4721408512435997e-18,0)   (1.0386163993241821e-18,0)   (1.1511947783137991e-19,0)   
0.5   0   (0.2448195726314317,0)   (0.016941156711399497,0)   (0.019418560928564622,0)   (0.0081800765793210474,0)   (-0.0014076302202497381,0)   (0.003425763177311894,0)   (-0.0009275805562280879,0)   (0.00074024317995599511,0)   (-0.0001521484679036517,0)   (0.0001101985825607175,0)   (-1.5080603026667807e-05,0)   (0.48963914526153313,0)   (-0.021874366597424817,0)   (-0.010521579732187035,0)   (0.013517604081515444,0)   (-0.0086826057011260647,0)   (0.0026478435150941184,0)   (-0.00064960936541964788,0)   (0.00016345468762438714,0)   (-4.3246448814511054e-05,0)   (9.5810966535273416e-06,0)   (-2.2212610559265851e-06,0)   
1   0   (0.24592504731720435,0)   (0.039535661071766807,0)   (0.043610380760973379,0)   (0.014161140037468442,0)   (0.00082251004487194441,0)   (0.0073844898695369547,0)   (-0.0018846640823082603,0)   (0.0026463690925646586,0)   (-0.00023605604587073733,0)   (0.00064151308349831278,0)   (4.9381977971736918e-05,0)   (0.49185009463173762,0)   (-0.032538619262079696,0)   (-0.0093218274104873381,0)   (0.01533884558597795,0)   (-0.013369410756165233,0)   (0.0047278550900359062,0)   (-0.00023985968675692242,0)   (-0.00047812813337239074,0)   (0.00018038436757172389,0)   (-3.3448964297087732e-05,0)   (5.7175177719645148e-06,0)   
2   0   (0.24634667615700695,0)   (0.077584633404519487,0)   (0.082486945329381403,0)   (0.027290107838141498,0)   (0.0065053794980451021,0)   (0.012406986402327401,0)   (-0.002945638496859704,0)   (0.008047896774638609,0)   (0.00078252787165350077,0)   (0.003678013491378434,0)   (0.0014584763695209225,0)   (0.49269335231276429,0)   (-0.048114460507385527,0)   (-0.0070078291120908879,0)   (0.018170691100489997,0)   (-0.017161618418723778,0)   (0.0090522417290569649,0)   (-0.0024391763307612937,0)   (-0.0013082463274992663,0)   (0.00094321032229376534,0)   (-0.0001503546499566307,0)   (-2.8172707175472228e-05,0)   
10   0   (0.24670029467666468,0)   (0.14774517998947431,0)   (0.14785174554344019,0)   (0.054378634660501399,0)   (0.0018381580389378812,0)   (0.017772781521303613,0)   (-0.0081757784651981767,0)   (0.024972087380792936,0)   (0.050350151460830932,0)   (0.060312010633758475,0)   (0.068965515015191617,0)   (0.49340058935321929,0)   (-0.062968228964990838,0)   (0.0097587802161233864,0)   (0.007440140095556067,0)   (-0.013067989386791243,0)   (0.01708201823224699,0)   (-0.03154466564676478,0)   (0.022138414910965919,0)   (-0.0035781863207568964,0)   (-0.003457197278687661,0)   (0.0024525542697710805,0)   
100   0   (0.24755417378119629,0)   (0.23003399982918221,0)   (0.17846802122073668,0)   (0.067161665175044877,0)   (0.005358118861804699,0)   (0.026150355796454555,0)   (0.0047427387799825731,0)   (0.066374825549469815,0)   (0.17641692936597081,0)   (0.22886999986822737,0)   (0.24149909982021311,0)   (0.49510834756238897,0)   (-0.0040988191716743016,0)   (-0.0081113588131723237,0)   (0.019623434684171295,0)   (-0.014378123104442876,0)   (0.010042312202132548,0)   (-0.0020789220805934386,0)   (-0.011229421995801828,0)   (0.0084997286209669357,0)   (-0.001382699273384318,0)   (-0.00069166319979784615,0)   
200   0   (0.2475635784036844,0)   (0.23087353498092572,0)   (0.17871848666687137,0)   (0.067160763971623252,0)   (0.0054426189788571947,0)   (0.026171007145277213,0)   (0.0049141780031679598,0)   (0.066698728737460911,0)   (0.17707818675791195,0)   (0.22982197823810996,0)   (0.24223459379049819,0)   (0.4951271568073678,0)   (-0.0034323094017901603,0)   (-0.0083597564607688583,0)   (0.019828637780676485,0)   (-0.014450887909311073,0)   (0.0099915999361270633,0)   (-0.0016700671543758848,0)   (-0.011786948202621727,0)   (0.0088364260853105465,0)   (-0.0015119835562570226,0)   (-0.00069039626643485413,0)   
500   0   (0.24756362088857731,0)   (0.23087733839016972,0)   (0.17871966324873167,0)   (0.067160793657510001,0)   (0.0054430112310022809,0)   (0.026171102585038384,0)   (0.0049149559056215911,0)   (0.06670021161106994,0)   (0.17708119883527512,0)   (0.22982628262188562,0)   (0.24223787681058373,0)   (0.49512724177715312,0)   (-0.0034293044414117559,0)   (-0.0083608925997512087,0)   (0.019829587546160973,0)   (-0.014451253422077716,0)   (0.0099914082085599404,0)   (-0.0016682242430101711,0)   (-0.011789584690129555,0)   (0.0088381465621221421,0)   (-0.0015127318949448767,0)   (-0.00069034071967069414,0)   
1000   0   (0.24756362088858222,0)   (0.23087733839060939,0)   (0.17871966324886818,0)   (0.067160793657513818,0)   (0.0054430112310477289,0)   (0.026171102585049434,0)   (0.0049149559057115296,0)   (0.066700211611241539,0)   (0.17708119883562351,0)   (0.22982628262238314,0)   (0.2422378768109627,0)   (0.49512724177716355,0)   (-0.0034293044410645679,0)   (-0.008360892599882673,0)   (0.019829587546270972,0)   (-0.014451253422120376,0)   (0.0099914082085381974,0)   (-0.0016682242427972422,0)   (-0.01178958469043555,0)   (0.0088381465623232035,0)   (-0.0015127318950331897,0)   (-0.00069034071966372077,0)   
10000   0   (0.24756362088858219,0)   (0.23087733839060937,0)   (0.17871966324886818,0)   (0.067160793657513818,0)   (0.005443011231047728,0)   (0.026171102585049438,0)   (0.0049149559057115287,0)   (0.066700211611241525,0)   (0.17708119883562348,0)   (0.22982628262238308,0)   (0.24223787681096273,0)   (0.49512724177716361,0)   (-0.0034293044410645679,0)   (-0.008360892599882673,0)   (0.019829587546270972,0)   (-0.014451253422120376,0)   (0.0099914082085381956,0)   (-0.0016682242427972424,0)   (-0.01178958469043555,0)   (0.0088381465623232035,0)   (-0.0015127318950331897,0)   (-0.00069034071966372077,0)   
