0   0   (0.1875,0)   (-3.4694469519536142e-18,0)   (-1.0408340855860843e-17,0)   (-6.9388939039072284e-18,0)   (0.37499999999999989,0)   (7.8062556418956319e-18,0)   (-5.2041704279304213e-18,0)   (4.3368086899420177e-18,0)   
0.5   0   (0.19564582375266881,0)   (0.004588159412123689,0)   (0.0045881594121236638,0)   (0.0049784908622129082,0)   (0.39129164750533768,0)   (-0.01764757521074109,0)   (-0.017647575210741073,0)   (0.0077852374975610284,0)   
1   0   (0.19792245450717361,0)   (-0.0060585786168711681,0)   (-0.0060585786168712002,0)   (0.016044256880131398,0)   (0.39584490901434738,0)   (-0.050198428057364144,0)   (-0.050198428057364158,0)   (0.040494735992692474,0)   
2   0   (0.20144791495296721,0)   (-0.03036083191620086,0)   (-0.03036083191620087,0)   (0.030508348507457938,0)   (0.40289582990593414,0)   (-0.092110796075985782,0)   (-0.092110796075985851,0)   (0.099329408188302881,0)   
10   0   (0.2045761619991425,0)   (-0.04793113431444862,0)   (-0.047931134314448606,0)   (0.032581043244946623,0)   (0.40915232399828511,0)   (-0.11015360503467468,0)   (-0.11015360503467479,0)   (0.12657124739484291,0)   
100   0   (0.20457659374792528,0)   (-0.047933367988209893,0)   (-0.04793336798820988,0)   (0.032580284456988726,0)   (0.40915318749585067,0)   (-0.11015503201123207,0)   (-0.11015503201123218,0)   (0.12657290303886196,0)   
200   0   (0.20457659374792533,0)   (-0.047933367988209893,0)   (-0.04793336798820988,0)   (0.032580284456988726,0)   (0.40915318749585067,0)   (-0.11015503201123207,0)   (-0.11015503201123218,0)   (0.12657290303886193,0)   
500   0   (0.20457659374792531,0)   (-0.047933367988209886,0)   (-0.047933367988209873,0)   (0.032580284456988719,0)   (0.40915318749585072,0)   (-0.11015503201123207,0)   (-0.11015503201123218,0)   (0.12657290303886196,0)   
1000   0   (0.20457659374792531,0)   (-0.047933367988209893,0)   (-0.04793336798820988,0)   (0.032580284456988726,0)   (0.40915318749585067,0)   (-0.11015503201123207,0)   (-0.11015503201123218,0)   (0.12657290303886196,0)   
10000   0   (0.20457659374792531,0)   (-0.047933367988209886,0)   (-0.047933367988209873,0)   (0.032580284456988726,0)   (0.40915318749585078,0)   (-0.11015503201123207,0)   (-0.11015503201123217,0)   (0.12657290303886196,0)   
