0   0   (0.22222222222222232,0)   (-1.5419764230904951e-18,0)   (-3.8549410577262382e-18,0)   (1.3299546649155522e-17,0)   (-1.0793834961633467e-17,0)   (1.5419764230904951e-18,0)   (7.7098821154524763e-18,0)   (-1.2335811384723961e-17,0)   (-1.1179329067406091e-17,0)   (0.44444444444443909,0)   (1.1628068299907035e-17,0)   (-1.9979436700746767e-17,0)   (2.3882564521694585e-18,0)   (8.426660218373449e-18,0)   (-7.104535902481402e-18,0)   (1.3130892977879998e-18,0)   (4.8849331215874674e-18,0)   (-5.2297696458918849e-18,0)   
0.5   0   (0.24179799496550436,0)   (0.0087546399149596391,0)   (0.011838601046066689,0)   (0.0088838417332961512,0)   (-0.0037895194675585911,0)   (0.0044117385000075372,0)   (-0.0012826786497375589,0)   (0.00085187679564146927,0)   (-0.00017941751379391363,0)   (0.48359598993094921,0)   (-0.031580068454704811,0)   (-0.016500095482558392,0)   (0.020434708485253601,0)   (-0.01241642859540687,0)   (0.0036476827812353023,0)   (-0.0008914689860103674,0)   (0.00019393412361726304,0)   (-4.6808583377900224e-05,0)   
1   0   (0.243052066684426,0)   (0.02081347776479163,0)   (0.02656109994014377,0)   (0.009569416052728855,0)   (-0.0060962289191038065,0)   (0.0098767773754802907,0)   (-0.0028138144978484573,0)   (0.0029804009533908292,0)   (-0.00039573768741814173,0)   (0.48610413336876401,0)   (-0.049299690460622526,0)   (-0.015549849579989254,0)   (0.025168216174685797,0)   (-0.022316873804110605,0)   (0.007280235363219853,0)   (-0.00018208771905181093,0)   (-0.00060654967454469274,0)   (0.00019347000986684318,0)   
2   0   (0.24340141081720476,0)   (0.033767665110549371,0)   (0.044988596708419787,0)   (0.0069054424831371366,0)   (-0.0074667521447961769,0)   (0.017612587255975091,0)   (-0.0059975927763447562,0)   (0.0091427161080963239,0)   (-0.00050268335948753856,0)   (0.48680282163427852,0)   (-0.077872115853192342,0)   (-0.0098847616240958277,0)   (0.028027959175090787,0)   (-0.032004645221887618,0)   (0.017881206292180072,0)   (-0.0045891553367332491,0)   (-0.0017459481397652946,0)   (0.0011066878288881171,0)   
10   0   (0.24331417154526697,0)   (0.020516981055574011,0)   (0.055915242531183372,0)   (-0.011636765142578123,0)   (-0.0078216934362615332,0)   (0.021591723102521936,0)   (-0.024756424082736789,0)   (0.029059951372252146,0)   (-0.0022338905797583183,0)   (0.48662834309052427,0)   (-0.14755210145696288,0)   (0.026002438358554404,0)   (0.0038883138789075331,0)   (-0.030299406723816893,0)   (0.047404021602180858,0)   (-0.074802338658372339,0)   (0.06404735851049069,0)   (-0.041641966982023479,0)   
100   0   (0.24274524282574944,0)   (-0.073716269752491709,0)   (0.048757726835794268,0)   (-0.025612971422867149,0)   (-0.0099606782532863872,0)   (0.024287820687449304,0)   (-0.050487743257327439,0)   (0.024706998103376124,0)   (-0.062059306722952227,0)   (0.48549048565149799,0)   (-0.23504802570410857,0)   (0.057740886264103612,0)   (-0.026248063613248343,0)   (-0.012926472741890857,0)   (0.037519031621185521,0)   (-0.10627644016202639,0)   (0.1625659478963318,0)   (-0.2133653339658616,0)   
200   0   (0.2425385331427396,0)   (-0.11026565903805012,0)   (0.053241015555692876,0)   (-0.029901677943999894,0)   (-0.010121817894713678,0)   (0.025745756864997155,0)   (-0.053243209676774962,0)   (0.038033774627748242,0)   (-0.093614856825415191,0)   (0.48507706628547809,0)   (-0.26453538798193243,0)   (0.063864914415878091,0)   (-0.029789772875872322,0)   (-0.017548510257646862,0)   (0.039277651273189849,0)   (-0.099796912606310434,0)   (0.1464879094638524,0)   (-0.240449793472161,0)   
500   0   (0.24232435763988991,0)   (-0.14817182702122497,0)   (0.057975098124412629,0)   (-0.034324393514617732,0)   (-0.010280908158638179,0)   (0.027257316348030348,0)   (-0.05597022421206807,0)   (0.052158340390360339,0)   (-0.12626316190774162,0)   (0.4846487152797791,0)   (-0.2951013174142173,0)   (0.070184492008582317,0)   (-0.033419128092733091,0)   (-0.022439464690009871,0)   (0.041166258881138479,0)   (-0.092909075842200664,0)   (0.12935473134905201,0)   (-0.26838715614356823,0)   
1000   0   (0.24230705505835762,0)   (-0.15123415580858701,0)   (0.058357561011281082,0)   (-0.03468168781510482,0)   (-0.010293759734077399,0)   (0.027379430695530414,0)   (-0.056190513778906569,0)   (0.053299463560894697,0)   (-0.1289007088238627,0)   (0.48461411011671457,0)   (-0.29757064746835316,0)   (0.070695029162191197,0)   (-0.033712328734784677,0)   (-0.02283460172823952,0)   (0.041318841543272956,0)   (-0.09235260691001547,0)   (0.12797054036706626,0)   (-0.27064412367292262,0)   
10000   0   (0.24230689663634,0)   (-0.1512621944168295,0)   (0.058361062832214379,0)   (-0.034684959193070491,0)   (-0.010293877402791004,0)   (0.027380548771539913,0)   (-0.056192530744847646,0)   (0.053309911657019163,0)   (-0.12892485813957549,0)   (0.48461379327267912,0)   (-0.29759325659454966,0)   (0.070699703628010147,0)   (-0.03371501327276534,0)   (-0.022838219593395846,0)   (0.041320238586433702,0)   (-0.092347511893943551,0)   (0.12795786674794424,0)   (-0.27066478841298358,0)   
