0   0   (0.21428571428571425,0)   (-1.0903976134711359e-17,0)   (-1.4869058365515489e-18,0)   (0,0)   (-8.4257997404587767e-18,0)   (4.9563527885051632e-18,0)   (-4.9563527885051629e-19,0)   (0.42857142857142899,0)   (1.3846810602886299e-17,0)   (-1.0222477626291899e-18,0)   (-6.5052130349130266e-19,0)   (1.3010426069826053e-18,0)   (7.0318255186917006e-18,0)   (6.1954409856314536e-20,0)   
0.5   0   (0.23477355350070511,0)   (-0.0035705610706857176,0)   (-0.00063005205638655187,0)   (0.011489229397704314,0)   (-0.0057343022976240497,0)   (0.0049767184352148093,0)   (-0.001322008056241524,0)   (0.46954710700141072,0)   (-0.046079182431587158,0)   (-0.028889678125192834,0)   (0.031647358462545724,0)   (-0.016351709015616226,0)   (0.0040617592008404509,0)   (-0.00097282647139523479,0)   
1   0   (0.23640709127894449,0)   (-0.0041799176108109374,0)   (0.0023694486645153678,0)   (0.013186779181719538,0)   (-0.011047186591391768,0)   (0.012311667912789303,0)   (-0.0031927469760175296,0)   (0.47281418255788432,0)   (-0.072913572704738125,0)   (-0.030423257918593051,0)   (0.045644808916461915,0)   (-0.036847638661612378,0)   (0.0088884567358885214,0)   (-0.0002839823675417503,0)   
2   0   (0.23670291706626093,0)   (-0.013605992314027659,0)   (0.0077596976589056265,0)   (0.010068781593976006,0)   (-0.017669341948443468,0)   (0.02241920581911732,0)   (-0.0070875342838096801,0)   (0.47340583413251774,0)   (-0.11699160121093916,0)   (-0.019161257518480933,0)   (0.048867463776717107,0)   (-0.063365414403153311,0)   (0.028820780063366462,0)   (-0.0052411982181000917,0)   
10   0   (0.23572578919300846,0)   (-0.10737689736618021,0)   (0.020922706739173246,0)   (0.0015356845575284982,0)   (-0.041858869054386627,0)   (0.039860485689841602,0)   (-0.062330143699420214,0)   (0.47145157838601603,0)   (-0.25926046833736194,0)   (0.041395811999376683,0)   (0.016119404184602046,0)   (-0.10217503996820784,0)   (0.11959042532128253,0)   (-0.17849803990605342,0)   
100   0   (0.23517696913004832,0)   (-0.15312479155037723,0)   (0.032069743650296946,0)   (-0.0047669852072586734,0)   (-0.046498035028406048,0)   (0.050792217014438965,0)   (-0.11364911266043114,0)   (0.47035393826009614,0)   (-0.30919740328510942,0)   (0.050785894232287625,0)   (0.0075631171715464839,0)   (-0.099552985290601234,0)   (0.11464271563523679,0)   (-0.23351989789546429,0)   
200   0   (0.23517696909882718,0)   (-0.15312479423273856,0)   (0.032069744353038589,0)   (-0.0047669856248772251,0)   (-0.046498035259183113,0)   (0.050792217702530312,0)   (-0.11364911603759711,0)   (0.47035393819765409,0)   (-0.30919740592573108,0)   (0.050785894536505533,0)   (0.0075631168426421773,0)   (-0.099552985026811369,0)   (0.11464271490590205,0)   (-0.23351990016170662,0)   
500   0   (0.23517696909882718,0)   (-0.15312479423273856,0)   (0.032069744353038589,0)   (-0.0047669856248772268,0)   (-0.046498035259183113,0)   (0.050792217702530312,0)   (-0.11364911603759711,0)   (0.47035393819765409,0)   (-0.30919740592573108,0)   (0.050785894536505533,0)   (0.0075631168426421713,0)   (-0.099552985026811369,0)   (0.11464271490590205,0)   (-0.23351990016170665,0)   
1000   0   (0.23517696909882718,0)   (-0.15312479423273856,0)   (0.032069744353038589,0)   (-0.0047669856248772268,0)   (-0.046498035259183113,0)   (0.050792217702530312,0)   (-0.11364911603759711,0)   (0.47035393819765409,0)   (-0.30919740592573108,0)   (0.050785894536505533,0)   (0.0075631168426421713,0)   (-0.099552985026811369,0)   (0.11464271490590205,0)   (-0.23351990016170665,0)   
10000   0   (0.23517696909882718,0)   (-0.15312479423273856,0)   (0.032069744353038589,0)   (-0.0047669856248772268,0)   (-0.046498035259183113,0)   (0.050792217702530312,0)   (-0.11364911603759711,0)   (0.47035393819765409,0)   (-0.30919740592573108,0)   (0.050785894536505533,0)   (0.0075631168426421713,0)   (-0.099552985026811369,0)   (0.11464271490590205,0)   (-0.23351990016170665,0)   
