0   0   (0.20833333333333329,0)   (0,0)   (1.1564823173178713e-18,0)   (-3.4694469519536142e-18,0)   (1.1564823173178713e-18,0)   (-9.2518585385429707e-18,0)   (0.41666666666666635,0)   (3.3248866622888804e-18,0)   (-9.6132592627048065e-18,0)   (-8.0230960763927328e-18,0)   (-5.0596101382656877e-19,0)   (9.0350181040458709e-19,0)   
0.5   0   (0.22312766257521527,0)   (0.010951406118190976,0)   (0.0096537322575484218,0)   (0.0053317020376918425,0)   (0.001049375895207452,0)   (0.0013977250814575461,0)   (0.44625532515043143,0)   (-0.020142250930777688,0)   (-0.016746896339154632,0)   (0.0094285109560422586,0)   (-0.0022574372825841845,0)   (0.00044798981551410566,0)   
1   0   (0.22685504620165323,0)   (0.011996726862027176,0)   (0.0091710124261250425,0)   (0.011946847628281106,0)   (-7.5652001879225399e-05,0)   (0.0073388142281243266,0)   (0.45371009240330601,0)   (-0.047143207468772423,0)   (-0.034746596358566306,0)   (0.03433903991925643,0)   (-0.01243022369299945,0)   (0.0031255145133527585,0)   
2   0   (0.22892010218701403,0)   (0.015597815683232322,0)   (0.0071519788351981067,0)   (0.01488612895026181,0)   (0.0011570876522881918,0)   (0.02282116139660792,0)   (0.45784020437402623,0)   (-0.074699068257503845,0)   (-0.048113658642136389,0)   (0.066133531011497396,0)   (-0.034257049289010036,0)   (0.0054187621037219292,0)   
10   0   (0.2293970478174103,0)   (0.056292779237364879,0)   (0.025070418011415248,0)   (0.0091069691109882337,0)   (0.041582173409390619,0)   (0.10498954506482844,0)   (0.45879409563481999,0)   (-0.089940344902635763,0)   (-0.047773886707434605,0)   (0.099809216067980946,0)   (-0.058139753738029515,0)   (0.012920163520431854,0)   
100   0   (0.22886910445333067,0)   (0.096994706359661939,0)   (0.037331914168224352,0)   (0.0076412268137696906,0)   (0.076082941797552248,0)   (0.14613642879322133,0)   (0.457738208906661,0)   (-0.05678990032848704,0)   (-0.067732709973147509,0)   (0.11154081799217548,0)   (-0.019589531205104538,0)   (-0.0339110408867873,0)   
200   0   (0.2288690804088587,0)   (0.096996766399468512,0)   (0.037332440503023097,0)   (0.0076411637178970468,0)   (0.076084661729680481,0)   (0.1461382261978327,0)   (0.45773816081771707,0)   (-0.056788091469101333,0)   (-0.067733895654822254,0)   (0.11154141040980854,0)   (-0.019587394491653479,0)   (-0.033913945942690024,0)   
500   0   (0.22886908040855122,0)   (0.096996766425813327,0)   (0.037332440509754122,0)   (0.0076411637170901454,0)   (0.076084661751675803,0)   (0.14613822622081879,0)   (0.45773816081710211,0)   (-0.056788091445968761,0)   (-0.06773389566998532,0)   (0.11154141041738469,0)   (-0.019587394464328133,0)   (-0.033913945979841306,0)   
1000   0   (0.22886908040855122,0)   (0.096996766425813313,0)   (0.037332440509754129,0)   (0.0076411637170901454,0)   (0.076084661751675817,0)   (0.14613822622081879,0)   (0.45773816081710211,0)   (-0.056788091445968761,0)   (-0.067733895669985333,0)   (0.11154141041738469,0)   (-0.019587394464328129,0)   (-0.033913945979841306,0)   
10000   0   (0.22886908040855122,0)   (0.096996766425813313,0)   (0.037332440509754129,0)   (0.0076411637170901454,0)   (0.076084661751675831,0)   (0.14613822622081879,0)   (0.45773816081710211,0)   (-0.056788091445968761,0)   (-0.067733895669985333,0)   (0.11154141041738468,0)   (-0.019587394464328133,0)   (-0.033913945979841313,0)   
