0   0   (0.22500000000000001,0)   (-1.2836953722228373e-17,0)   (-1.4311468676808658e-18,0)   (-2.5153490401663702e-18,0)   (1.0408340855860843e-17,0)   (-1.4311468676808658e-18,0)   (8.3266726846886737e-18,0)   (-6.9388939039072284e-18,0)   (3.7296554733501351e-18,0)   (-9.0639301619788165e-18,0)   (0.45000000000000406,0)   (4.8773512355618219e-17,0)   (-3.9885087420310496e-18,0)   (5.3573139847939989e-18,0)   (-2.1277467635028025e-18,0)   (-1.009663273127126e-17,0)   (-7.7249404789592191e-18,0)   (-9.0544433929695692e-18,0)   (-2.6447756745068275e-18,0)   (-5.1120132432691533e-18,0)   
0.5   0   (0.24346640711888742,0)   (0.013817977211027434,0)   (0.016336927432876656,0)   (0.0084199981495269045,0)   (-0.0022586056030428634,0)   (0.0037433465366744651,0)   (-0.0010253165390623487,0)   (0.00080328634398669737,0)   (-0.00013901084674722408,0)   (0.00011634292844291911,0)   (0.48693281423742019,0)   (-0.025431886412719241,0)   (-0.013006307363831486,0)   (0.016229948297459627,0)   (-0.0098791091748488633,0)   (0.002972636803476716,0)   (-0.00073932359317626056,0)   (0.0001887584007579798,0)   (-4.238810489071636e-05,0)   (9.9560833213334271e-06,0)   
1   0   (0.24471158345109281,0)   (0.032459880595338886,0)   (0.036632998936003421,0)   (0.011986446126685044,0)   (-0.0022914406937916058,0)   (0.0082260501501234106,0)   (-0.0021985602353784594,0)   (0.0029085221720867916,0)   (-0.00019527215218833856,0)   (0.00069942617706924637,0)   (0.48942316690165644,0)   (-0.038406149279448132,0)   (-0.011932266948569166,0)   (0.019330802461513627,0)   (-0.016680988290324425,0)   (0.0055294549143559526,0)   (-0.0001968647389356984,0)   (-0.00049135966310247204,0)   (0.000155428029299635,0)   (-3.0781114058971851e-05,0)   
2   0   (0.2451421294482726,0)   (0.060715029802355665,0)   (0.066710338588728407,0)   (0.01676966522449903,0)   (-0.0010482477304939676,0)   (0.014356963206135529,0)   (-0.0036737761103476231,0)   (0.0087947023806273644,0)   (0.0010222643594970063,0)   (0.0041600093800945167,0)   (0.49028425889612198,0)   (-0.058421892755880049,0)   (-0.0085797404490867615,0)   (0.022334720009747667,0)   (-0.022766696588995213,0)   (0.011879888671936773,0)   (-0.0025664697207659582,0)   (-0.0017227108973530147,0)   (0.00096270606600210669,0)   (-0.00015048507333239729,0)   
10   0   (0.24531727326695127,0)   (0.10617411584519092,0)   (0.11232770640058604,0)   (0.014117358465618382,0)   (-0.0052698213121944257,0)   (0.020464619129042644,0)   (-0.013559839645818811,0)   (0.030673340043519712,0)   (0.041868532600196094,0)   (0.052544901803372804,0)   (0.49063454653385724,0)   (-0.091880545330580779,0)   (0.014072417227591946,0)   (0.0079492852342582642,0)   (-0.021525437283773079,0)   (0.03126250889629547,0)   (-0.049310522098766962,0)   (0.026211105955969476,0)   (-0.0050506711637644409,0)   (-0.0032823662718973897,0)   
100   0   (0.24580761478950572,0)   (0.16345199271241304,0)   (0.12267748270970862,0)   (0.018947496511952801,0)   (0.0055831052595892985,0)   (0.015930876593550487,0)   (0.0051560240622434911,0)   (0.087591853356131358,0)   (0.15171344640469164,0)   (0.17955330179564044,0)   (0.49161522957900683,0)   (-0.050135489780741213,0)   (0.0050300355718089027,0)   (0.011703435188506951,0)   (-0.017652028812983996,0)   (0.028703002435893125,0)   (-0.038752032455852056,0)   (0.025597944576866944,0)   (-0.022111248903606894,0)   (0.0089114984494765501,0)   
200   0   (0.24606338428159355,0)   (0.18942681518391655,0)   (0.12388060322664532,0)   (0.022363028651068029,0)   (0.010869811646539027,0)   (0.013165086193289991,0)   (0.016458558830458509,0)   (0.10699109479486034,0)   (0.1829592927322688,0)   (0.21276600697291501,0)   (0.49212676856318588,0)   (-0.027068114636452287,0)   (-0.002814212632472373,0)   (0.017907033313916802,0)   (-0.01996318585675973,0)   (0.029284953718976308,0)   (-0.026484140980981969,0)   (0.0083278255924182764,0)   (-0.0065859550885322025,0)   (0.0034434306256669643,0)   
500   0   (0.24622782638097349,0)   (0.20622584367452079,0)   (0.12486852326521705,0)   (0.024697763542557757,0)   (0.014234957358047466,0)   (0.011422296167198772,0)   (0.023768695817948871,0)   (0.11953802973452267,0)   (0.20308520713405895,0)   (0.23379130067308243,0)   (0.49245565276194631,0)   (-0.012205073261512156,0)   (-0.008022560389038421,0)   (0.022142595431477636,0)   (-0.021835813451265104,0)   (0.030045111401646615,0)   (-0.018559556963446765,0)   (-0.0041778901955109938,0)   (0.0060034748479983607,0)   (-0.0015409378059671127,0)   
1000   0   (0.24623621676086399,0)   (0.20708321471377436,0)   (0.12491942609954788,0)   (0.024817210430152177,0)   (0.014406579972217419,0)   (0.011333455180405006,0)   (0.024141783546466504,0)   (0.12017838841236225,0)   (0.20411218366556677,0)   (0.23486332202773444,0)   (0.49247243352172754,0)   (-0.011446636968654438,0)   (-0.0082886892102035543,0)   (0.022359279245229541,0)   (-0.021932255472678915,0)   (0.030084789893055675,0)   (-0.018155132507104457,0)   (-0.0048192161314387976,0)   (0.0066518602008608565,0)   (-0.0017986537085982642,0)   
10000   0   (0.24623626296711831,0)   (0.20708793630055666,0)   (0.12491970642473366,0)   (0.024817868230739261,0)   (0.014407525106691289,0)   (0.011332965928622369,0)   (0.02414383815993925,0)   (0.12018191490081646,0)   (0.20411783927834282,0)   (0.23486922570355678,0)   (0.49247252593423618,0)   (-0.011442460220820778,0)   (-0.0082901547958351592,0)   (0.022360472534908773,0)   (-0.021932786585040068,0)   (0.030085008405730841,0)   (-0.018152905320676323,0)   (-0.0048227479506879377,0)   (0.0066554309003645914,0)   (-0.0018000729678361296,0)   
