0   0   (0.16666666666666666,0)   (4.6259292692714853e-18,0)   (-1.3877787807814457e-17,0)   (0.33333333333333331,0)   (1.6190752442450201e-17,0)   (0,0)   
0.5   0   (0.16666666666666663,0)   (0.002310298229638135,0)   (0.0023102982296381281,0)   (0.33333333333333326,0)   (-0.014323707777374135,0)   (-0.014323707777374139,0)   
1   0   (0.16666666666666663,0)   (-0.013117726712452489,0)   (-0.013117726712452498,0)   (0.33333333333333326,0)   (-0.053863141839900215,0)   (-0.05386314183990025,0)   
2   0   (0.1666666666666666,0)   (-0.054234124534931698,0)   (-0.054234124534931691,0)   (0.3333333333333332,0)   (-0.12686245719697786,0)   (-0.12686245719697792,0)   
10   0   (0.16666666666666663,0)   (-0.083332997102238876,0)   (-0.083332997102238862,0)   (0.33333333333333326,0)   (-0.16666632817006488,0)   (-0.16666632817006494,0)   
100   0   (0.16666666666666666,0)   (-0.083333333333333329,0)   (-0.083333333333333315,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
200   0   (0.16666666666666666,0)   (-0.083333333333333329,0)   (-0.083333333333333315,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
500   0   (0.16666666666666666,0)   (-0.083333333333333329,0)   (-0.083333333333333315,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
1000   0   (0.16666666666666666,0)   (-0.083333333333333329,0)   (-0.083333333333333315,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
10000   0   (0.16666666666666666,0)   (-0.083333333333333329,0)   (-0.083333333333333315,0)   (0.33333333333333326,0)   (-0.16666666666666663,0)   (-0.16666666666666669,0)   
